Date,Open,High,Low,Close,Volume
2018-06-28,6074.0,6178.0,5980.0,6129.0,1725329775
2018-06-29,6129.0,6154.5,5820.0,5844.5,1878641954
2018-06-30,5844.5,6333.0,5778.0,6205.5,2322980304
2018-07-01,6205.5,6570.0,6190.0,6383.5,1828580066
2018-07-02,6383.5,6432.0,6255.0,6346.0,1334552363
2018-07-03,6346.0,6675.0,6268.0,6610.0,1908182354
2018-07-04,6610.0,6670.0,6463.5,6505.5,1803542193
2018-07-05,6505.5,6820.0,6412.0,6582.0,2310207797
2018-07-06,6582.0,6730.0,6429.0,6526.5,2647394794
2018-07-07,6526.5,6650.0,6453.0,6599.5,1742814039
2018-07-08,6599.5,6868.0,6503.0,6756.5,1559327485
2018-07-09,6756.5,6774.5,6670.0,6701.0,1137205977
2018-07-10,6701.0,6841.0,6626.0,6668.0,1664819307
2018-07-11,6668.0,6678.0,6260.0,6304.0,2705577791
2018-07-12,6304.0,6399.5,6277.0,6371.0,1767112110
2018-07-13,6371.0,6371.0,6065.0,6246.5,2380315491
2018-07-14,6246.5,6350.0,6111.0,6213.0,1778981873
2018-07-15,6213.0,6320.0,6181.5,6245.5,1342839848
2018-07-16,6245.5,6392.0,6231.0,6347.5,1314694866
2018-07-17,6347.5,6738.0,6338.0,6719.5,2959875907
2018-07-18,6719.5,7470.0,6659.5,7318.5,4090279858
2018-07-19,7318.5,7600.0,7230.0,7384.0,4930792781
2018-07-20,7384.0,7584.0,7284.0,7466.5,3254160878
2018-07-21,7466.5,7715.0,7270.5,7333.0,4059000217
2018-07-22,7333.0,7450.0,7209.5,7401.0,2078516076
2018-07-23,7401.0,7590.0,7321.0,7391.5,2954588627
2018-07-24,7391.5,7799.0,7376.0,7720.0,4401153931
2018-07-25,7720.0,8478.0,7694.5,8391.0,7560074951
2018-07-26,8391.0,8487.0,8056.0,8177.0,5858003803
2018-07-27,8177.0,8319.5,7850.0,7922.0,4797481739
2018-07-28,7922.0,8280.0,7791.0,8190.0,4714351308
2018-07-29,8190.0,8249.5,8075.0,8229.5,2339162545
2018-07-30,8229.5,8302.5,8122.0,8219.0,2694502222
2018-07-31,8219.0,8281.5,7842.0,8174.5,5063640019
2018-08-01,8174.5,8174.5,7625.0,7727.0,5811273710
2018-08-02,7727.0,7757.5,7430.0,7604.5,4456770573
2018-08-03,7604.5,7717.5,7455.5,7539.5,3227088342
2018-08-04,7539.5,7540.0,7292.5,7411.0,4146372123
2018-08-05,7411.0,7487.0,6881.0,7005.5,3524525987
2018-08-06,7005.5,7094.0,6870.5,7019.5,2878841101
2018-08-07,7019.5,7180.0,6835.0,6931.5,3539203955
2018-08-08,6931.5,7144.0,6646.0,6711.5,4550047067
2018-08-09,6711.5,6712.0,6100.0,6274.0,5593069624
2018-08-10,6274.0,6640.0,6182.0,6536.0,3889886150
2018-08-11,6536.0,6578.5,5971.0,6138.0,4436831128
2018-08-12,6138.0,6503.0,5970.0,6241.0,3038561351
2018-08-13,6241.0,6499.0,6166.0,6308.5,2604144385
2018-08-14,6308.5,6550.0,6134.0,6245.5,3003407756
2018-08-15,6245.5,6250.0,5860.0,6193.5,4419829799
2018-08-16,6193.5,6641.0,6182.0,6266.5,5404958496
2018-08-17,6266.5,6483.0,6206.0,6305.5,3766769335
2018-08-18,6305.5,6589.0,6285.0,6578.5,3534214700
2018-08-19,6578.5,6617.0,6280.0,6394.0,2440423115
2018-08-20,6394.0,6562.0,6305.5,6487.0,2283077876
2018-08-21,6487.0,6523.0,6210.0,6253.5,2948442122
2018-08-22,6253.5,6503.0,6231.5,6467.0,2929312061
2018-08-23,6467.0,7148.0,6231.5,6352.0,4117998981
2018-08-24,6352.0,6578.0,6339.0,6521.0,2262714475
2018-08-25,6521.0,6736.0,6435.0,6685.5,2556547595
2018-08-26,6685.5,6797.5,6665.5,6727.5,2157660895
2018-08-27,6727.5,6779.5,6570.5,6701.5,2457480015
2018-08-28,6701.5,6973.0,6645.5,6906.0,2481684071
2018-08-29,6906.0,7133.0,6862.0,7076.5,3353816462
2018-08-30,7076.5,7120.0,6870.0,7032.5,2782958037
2018-08-31,7032.5,7055.5,6782.5,6977.0,3729305115
