Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
04-02-2020,211.45,217.6,209.25,215.7,1314665,8.35,-4.25
03-02-2020,215.7,215.95,205,207.7,2806638,10.95,8
01-02-2020,238.15,239.25,215.7,218.85,1746151,23.55,19.3
31-01-2020,236.15,238.35,234.1,235.25,418235,4.25,0.9
30-01-2020,238.4,238.4,233,233.85,213699,5.4,4.55
29-01-2020,231.2,237.6,231.2,236.85,548653,6.4,-5.65
28-01-2020,234.65,235.85,230.5,230.75,490403,5.35,3.9
27-01-2020,237.65,237.65,234.2,234.65,318465,3.45,3
24-01-2020,237.9,239.1,237.05,238.1,271202,2.05,-0.2
23-01-2020,238,238.8,237,237.9,238087,1.8,0.1
22-01-2020,239.95,239.95,237.05,237.95,231739,2.9,2
21-01-2020,241.9,241.9,237.95,238.3,927237,3.95,3.6
20-01-2020,241,243.25,240.25,241.9,272753,3,-0.9
17-01-2020,241.5,242.1,239.4,239.85,244164,2.7,1.65
16-01-2020,243.3,243.8,240.4,240.75,190776,3.4,2.55
15-01-2020,243.5,243.5,241.1,242.4,175383,2.4,1.1
14-01-2020,240,243.7,238.35,243.3,870308,5.35,-3.3
13-01-2020,238.95,240.5,238.25,239.15,260804,2.25,-0.2
10-01-2020,237,238.8,236.9,238,259573,1.9,-1
09-01-2020,236,236.6,235.05,235.8,358421,1.55,0.2
08-01-2020,234.8,235.8,233.85,234.2,191885,1.95,0.6
07-01-2020,236.6,237.9,234.7,235.3,186355,3.2,1.3
06-01-2020,238.45,238.45,235,235.1,260845,3.45,3.35
03-01-2020,240.7,240.7,237.9,238.45,216996,2.8,2.25
02-01-2020,238.75,240.6,238.35,239.8,192171,2.25,-1.05
01-01-2020,238.9,238.9,237.2,238.15,125205,1.7,0.75
